Rank,TeamID,Team,Seed,P(Champ),P(FinalFour),P(Elite8),P(Sweet16),P(Round32)
1,1181,Duke,W01,0.2094,0.308,0.4489,0.6177,0.7231
2,1196,Florida,Z01,0.1416,0.259,0.3846,0.5757,0.7792
3,1120,Auburn,Y01,0.1363,0.2419,0.392,0.5116,0.8023
4,1222,Houston,X01,0.0573,0.1104,0.2356,0.4014,0.5758
5,1397,Tennessee,X02,0.0568,0.0995,0.2083,0.3372,0.6201
6,1104,Alabama,W02,0.0469,0.1011,0.1637,0.3988,0.6824
7,1277,Michigan St,Y02,0.0305,0.075,0.144,0.3351,0.5409
8,1246,Kentucky,X03,0.029,0.0569,0.1197,0.2396,0.3535
9,1458,Wisconsin,W03,0.0273,0.0608,0.1219,0.2569,0.4987
10,1403,Texas Tech,Z03,0.0224,0.0544,0.1384,0.3062,0.5119
11,1268,Maryland,Z04,0.0218,0.0501,0.1138,0.2104,0.5607
12,1235,Iowa St,Y03,0.0204,0.0472,0.1077,0.2442,0.4417
13,1385,St John's,Z02,0.0194,0.0577,0.1424,0.3026,0.5623
14,1112,Arizona,W04,0.0176,0.0401,0.0904,0.1748,0.7167
15,1401,Texas A&M,Y04,0.0171,0.0491,0.1153,0.2321,0.412
16,1211,Gonzaga,X08,0.0159,0.0305,0.0671,0.1498,0.272
17,1155,Clemson,X05,0.0129,0.03,0.0672,0.1688,0.3961
18,1345,Purdue,X04,0.0118,0.0313,0.0778,0.1813,0.4391
19,1281,Missouri,Z06,0.0118,0.0292,0.0818,0.1853,0.3532
20,1228,Illinois,X06,0.0112,0.0275,0.1065,0.2052,0.476
21,1279,Mississippi,Y06,0.0083,0.0189,0.0476,0.1341,0.3153
22,1417,UCLA,X07,0.0074,0.0191,0.0548,0.1343,0.2706
23,1266,Marquette,Y07,0.0073,0.0234,0.0559,0.1525,0.3502
24,1276,Michigan,Y05,0.0073,0.0193,0.0434,0.1051,0.3207
25,1388,St Mary's CA,W07,0.0071,0.0194,0.0451,0.1273,0.2549
26,1163,Connecticut,Z08,0.0055,0.0133,0.038,0.0909,0.1736
27,1280,Mississippi St,W08,0.0049,0.0163,0.0396,0.135,0.2251
28,1140,BYU,W06,0.0047,0.0128,0.0353,0.1237,0.2988
29,1208,Georgia,X09,0.0034,0.0094,0.0285,0.072,0.1491
30,1242,Kansas,Z07,0.003,0.0072,0.0218,0.0671,0.161
31,1433,VCU,W11,0.003,0.0081,0.0197,0.067,0.1913
32,1116,Arkansas,Z10,0.0026,0.0088,0.0239,0.0909,0.2642
33,1257,Louisville,Y08,0.0021,0.0092,0.0241,0.0562,0.097
34,1332,Oregon,W05,0.0018,0.0059,0.0195,0.0399,0.1746
35,1166,Creighton,Y09,0.0017,0.005,0.0147,0.0422,0.1003
36,1307,New Mexico,Y10,0.0016,0.0038,0.0122,0.0394,0.1042
37,1471,UC San Diego,Y12,0.0016,0.0054,0.015,0.0449,0.1976
38,1429,Utah St,X10,0.0014,0.0034,0.0119,0.0346,0.1008
39,1272,Memphis,Z05,0.0013,0.0049,0.0175,0.0381,0.1514
40,1361,San Diego St,Y11b,0.001,0.0048,0.0123,0.0408,0.0986
41,1314,North Carolina,Y11a,0.001,0.004,0.0105,0.036,0.0777
42,1400,Texas,X11a,0.0008,0.0034,0.0119,0.0318,0.1066
43,1328,Oklahoma,Z09,0.0008,0.0019,0.0073,0.0194,0.0414
44,1179,Drake,Z11,0.0007,0.0023,0.0096,0.0406,0.1091
45,1124,Baylor,W09,0.0007,0.0022,0.0078,0.0175,0.0498
46,1161,Colorado St,Z12,0.0004,0.0025,0.0158,0.0482,0.2064
47,1462,Xavier,X11b,0.0004,0.001,0.0042,0.0119,0.0332
48,1252,Lipscomb,Y14,0.0003,0.0008,0.0034,0.0173,0.0667
49,1435,Vanderbilt,W10,0.0002,0.0011,0.0052,0.0238,0.0557
50,1251,Liberty,W12,0.0002,0.0006,0.0028,0.0138,0.0851
51,1213,Grand Canyon,Z13,0.0001,0.0005,0.0035,0.0166,0.0815
52,1136,Bryant,Y15,0.0,0.0,0.0,0.0006,0.0047
53,1270,McNeese St,X12,0.0,0.001,0.0051,0.0179,0.1051
54,1219,High Point,X13,0.0,0.0,0.0011,0.0085,0.0597
55,1384,St Francis PA,Y16b,0.0,0.0,0.0,0.0,0.0
56,1110,American Univ,W16a,0.0,0.0,0.0,0.0001,0.0014
57,1106,Alabama St,Y16a,0.0,0.0,0.0,0.0,0.0004
58,1103,Akron,W13,0.0,0.0,0.0,0.001,0.0236
59,1352,Robert Morris,W15,0.0,0.0,0.0,0.0009,0.007
60,1463,Yale,Y13,0.0,0.0002,0.0019,0.0079,0.0697
61,1459,Wofford,X15,0.0,0.0,0.0,0.0012,0.0085
62,1188,SIUE,X16,0.0,0.0,0.0,0.0003,0.0031
63,1313,Norfolk St,Z16,0.0,0.0001,0.0002,0.0007,0.0058
64,1303,NE Omaha,Z15,0.0,0.0,0.0004,0.0022,0.0125
65,1423,UNC Wilmington,Z14,0.0,0.0001,0.001,0.0051,0.0258
66,1291,Mt St Mary's,W16b,0.0,0.0,0.0001,0.0002,0.0006
67,1285,Montana,W14,0.0,0.0,0.0,0.0016,0.0112
68,1407,Troy,X14,0.0,0.0002,0.0003,0.0042,0.0307
